ranking,recipe_id,name,Q_Score_Bayesien,Pop_Weight,Final_Score,reviews_in_season,Saison
8,82102,kittencal s moist cheddar garlic oven fried chicken breast,4.73448468536096,0.9904218089231395,4.6891368863941025,227,Fall
9,22782,jo mama s world famous spaghetti,4.708197017116204,0.9952517999715439,4.685841555905555,260,Fall
10,28148,oven fried chicken chimichangas,4.7946415179487,0.9734419651578845,4.667305261459565,179,Fall
11,33671,crock pot whole chicken,4.759692576619554,0.9798484887535147,4.663777578131993,192,Fall
12,25730,pumpkin pie dip,4.747488679806389,0.9794158921741852,4.649765860919419,191,Fall
13,486496,bacon lattice tomato muffins  rsc,4.888954763455295,0.9498204476733448,4.64362920207984,149,Fall
14,27208,to die for crock pot roast,4.604444897269198,0.9999612394354283,4.60426642638544,486,Fall
15,54257,yes  virginia there is a great meatloaf,4.598870976892615,0.9996531588002361,4.59727589896543,383,Fall
16,63689,my family s favorite sloppy joes  pizza joes,4.747269350531836,0.9657394099585879,4.584625101497104,167,Fall
17,33919,creamy burrito casserole,4.609765882694591,0.9891187735326288,4.5596059761634296,221,Fall
18,135350,fannie farmer s classic baked macaroni   cheese,4.618974623581488,0.9856558301843513,4.552719267206664,208,Fall
19,106627,caramelized butternut squash,4.7735491848878775,0.9529107658570701,4.5487664096279,152,Fall
20,89204,crock pot chicken with black beans   cream cheese,4.512696797453253,0.9997962356723575,4.5117772708244654,408,Fall
1,69173,kittencal s italian melt in your mouth meatballs,4.8542059392136885,0.9984621672093594,4.8467409821478435,313,Winter
2,39087,creamy cajun chicken pasta,4.8122532117707,0.9999718300643046,4.812117650907174,501,Winter
3,10744,delicious chicken pot pie,4.840745448317254,0.9933272630051326,4.808444427081532,244,Winter
4,38298,olive garden copycat zuppa toscana,4.826313512449383,0.9915689158404236,4.785622457045422,233,Winter
5,4627,chicken tortilla soup ii,4.825836818383271,0.9904218089231395,4.7796140312310476,227,Winter
6,28148,oven fried chicken chimichangas,4.7850032277643715,0.9919199214113362,4.746340025637026,235,Winter
7,150863,panera s cream cheese potato soup,4.7424881926134,0.9975443716791469,4.730842404296307,291,Winter
8,22782,jo mama s world famous spaghetti,4.730380972365859,0.9998876940311933,4.729849722347932,436,Winter
9,82102,kittencal s moist cheddar garlic oven fried chicken breast,4.749781524917034,0.9949389739768251,4.725742757015033,257,Winter
10,131018,pulled pork  crock pot,4.775861798036503,0.9886462002738479,4.7216376196618155,219,Winter
11,107786,beth s melt in your mouth barbecue ribs  oven,4.836791682686799,0.972872159092303,4.7055799674152,178,Winter
12,135350,fannie farmer s classic baked macaroni   cheese,4.703471252100279,0.9950454737914658,4.6801677805106605,258,Winter
13,54257,yes  virginia there is a great meatloaf,4.676026099699483,0.9997479251668683,4.674847391200681,398,Winter
14,68955,japanese mum s chicken,4.67304496302474,0.9979722455191492,4.663569175161749,300,Winter
15,33671,crock pot whole chicken,4.699380812724479,0.9886462002738479,4.646024984139884,219,Winter
16,33919,creamy burrito casserole,4.664172752114518,0.9938713819587751,4.63558781883852,248,Winter
17,87782,greek potatoes  oven roasted and delicious,4.74123288929569,0.9766185690859593,4.630376080047245,185,Winter
18,63689,my family s favorite sloppy joes  pizza joes,4.721705235990799,0.9766185690859593,4.611305011219017,185,Winter
19,99476,the best easy beef and broccoli stir fry,4.642350042865642,0.989791041587014,4.594956484339503,224,Winter
20,141983,better than olive garden alfredo sauce,4.701045076351958,0.9771098389465013,4.593437397434505,186,Winter
